Trading name,CLUE small area,Seating type,Number of seats,Longitude,Latitude,derived_cuisine
Vapiano,Melbourne (CBD),Seats - Indoor,400,144.962788805,-37.81722704,Other Cuisines
Cha Ching Eatery,Melbourne (CBD),Seats - Indoor,50,144.96244181,-37.81728432,Other Cuisines
Falcon 367,Melbourne (CBD),Seats - Indoor,52,144.96244181,-37.81728432,Other Cuisines
Mensousai Mugen,Melbourne (CBD),Seats - Indoor,35,144.963649766,-37.81686635,Other Cuisines
Kim Sing Restaurant,Melbourne (CBD),Seats - Indoor,120,144.963682753,-37.81726468,Other Cuisines
Cafe Vicolino,Melbourne (CBD),Seats - Indoor,44,144.965474376,-37.81664468,Cafe / Coffee Shop
Ojika Japanese,Melbourne (CBD),Seats - Outdoor,4,144.965596537,-37.8166033,Japanese
Three Drops Espresso,Melbourne (CBD),Seats - Indoor,6,144.966330378,-37.81584476,Cafe / Coffee Shop
Brunetti Oro Flinders Lane,Melbourne (CBD),Seats - Indoor,300,144.965651032,-37.81635062,Other Cuisines
Brunetti Oro Flinders Lane,Melbourne (CBD),Seats - Outdoor,20,144.965651032,-37.81635062,Other Cuisines
Liminal Melbourne,Melbourne (CBD),Seats - Indoor,112,144.968755295,-37.81543178,Other Cuisines
Box Seafood Restaurant,Melbourne (CBD),Seats - Indoor,80,144.967706535,-37.81546677,Other Cuisines
Lobby Lounge,Melbourne (CBD),Seats - Indoor,70,144.967430346,-37.81584777,Other Cuisines
Mamasita,Melbourne (CBD),Seats - Indoor,70,144.973462178,-37.81377997,Other Cuisines
Dame Melbourne,Melbourne (CBD),Seats - Indoor,60,144.972628037,-37.81430615,Other Cuisines
Kenzan Japanese Restaurant,Melbourne (CBD),Seats - Indoor,50,144.972628037,-37.81430615,Japanese
Il Mercato Centrale,Melbourne (CBD),Seats - Indoor,1300,144.955844585,-37.81824464,Italian
Kantina Kartel,Melbourne (CBD),Seats - Indoor,70,144.957473189,-37.81753383,Other Cuisines
At The George,Melbourne (CBD),Seats - Outdoor,12,144.958333858,-37.81753764,Other Cuisines
Saving Grace,Melbourne (CBD),Seats - Outdoor,30,144.957798923,-37.81719649,Other Cuisines
Saving Grace,Melbourne (CBD),Seats - Indoor,50,144.957798923,-37.81719649,Other Cuisines
Curry Vault,Melbourne (CBD),Seats - Indoor,60,144.960522489,-37.81642893,Indian
Macchiato On Collins,Melbourne (CBD),Seats - Indoor,34,144.959442005,-37.81730302,Other Cuisines
People's Coffee,Melbourne (CBD),Seats - Indoor,60,144.959762275,-37.81703239,Cafe / Coffee Shop
Tengu Poke,Melbourne (CBD),Seats - Indoor,26,144.960396821,-37.81629333,Other Cuisines
Dikstein's Corner Bar,Melbourne (CBD),Seats - Outdoor,36,144.960341264,-37.81631093,Western / Pub / Bistro
Otherside Coffee,Melbourne (CBD),Seats - Indoor,4,144.960085861,-37.81638558,Cafe / Coffee Shop
Intimo,Melbourne (CBD),Seats - Indoor,50,144.960085861,-37.81638558,Other Cuisines
Korean Healthy Food BBQ Box,Melbourne (CBD),Seats - Outdoor,14,144.959550019,-37.81660734,Korean
Korean Healthy Food BBQ Box,Melbourne (CBD),Seats - Indoor,36,144.959550019,-37.81660734,Korean
The Bank On Collins,Melbourne (CBD),Seats - Indoor,100,144.961045391,-37.81666775,Other Cuisines
