Trading name,CLUE small area,Seating type,Number of seats,Longitude,Latitude,derived_cuisine
The Humble Goat,North Melbourne,Seats - Indoor,15,144.938522996,-37.79589356,Other Cuisines
Palette,North Melbourne,Seats - Outdoor,8,144.94713843,-37.80252643,Other Cuisines
The Hot Poppy,North Melbourne,Seats - Outdoor,30,144.948970536,-37.80473151,Other Cuisines
Cielo Gelateria,North Melbourne,Seats - Indoor,28,144.949079409,-37.80430342,Other Cuisines
S & J Sushi Noodle Town,North Melbourne,Seats - Outdoor,24,144.948881736,-37.80430161,Japanese
S & J Sushi Noodle Town,North Melbourne,Seats - Indoor,20,144.948881736,-37.80430161,Japanese
Char Siu House,North Melbourne,Seats - Outdoor,12,144.949085065,-37.80412429,Other Cuisines
Fandango Cafe,North Melbourne,Seats - Indoor,16,144.949406198,-37.80260762,Cafe / Coffee Shop
Fandango Cafe,North Melbourne,Seats - Outdoor,12,144.949406198,-37.80260762,Cafe / Coffee Shop
Auction Rooms Cafe,North Melbourne,Seats - Outdoor,28,144.949460849,-37.8024571,Cafe / Coffee Shop
La Porchetta North Melbourne,North Melbourne,Seats - Indoor,130,144.950145426,-37.80496737,Other Cuisines
Code Black Howard Street,North Melbourne,Seats - Indoor,70,144.953673523,-37.80422555,Other Cuisines
Code Black Howard Street,North Melbourne,Seats - Outdoor,26,144.953673523,-37.80422555,Other Cuisines
Ample Cafe Bar,North Melbourne,Seats - Outdoor,8,144.953696037,-37.80409478,Cafe / Coffee Shop
Ample Cafe Bar,North Melbourne,Seats - Indoor,55,144.953696037,-37.80409478,Cafe / Coffee Shop
Le Toaster,North Melbourne,Seats - Outdoor,22,144.952776962,-37.80357227,Other Cuisines
Le Bajo,North Melbourne,Seats - Outdoor,24,144.954243272,-37.80509175,Other Cuisines
Sakedokoro Namara,North Melbourne,Seats - Indoor,40,144.954338535,-37.80537801,Other Cuisines
Eat All,North Melbourne,Seats - Indoor,50,144.956661895,-37.80444772,Other Cuisines
Classic Curry Company,North Melbourne,Seats - Indoor,30,144.958143026,-37.80439443,Indian
Little Ivy Tea And Coffee,North Melbourne,Seats - Outdoor,6,144.95601867,-37.80337398,Cafe / Coffee Shop
Affinity On Errol,North Melbourne,Seats - Indoor,35,144.950095564,-37.80223499,Other Cuisines
New Lanna Thai,North Melbourne,Seats - Indoor,60,144.954000416,-37.79936937,Thai
New Lanna Thai,North Melbourne,Seats - Outdoor,8,144.954000416,-37.79936937,Thai
Mum Mum Asian Street Food,North Melbourne,Seats - Indoor,42,144.954000416,-37.79936937,Other Cuisines
Guzman Y Gomez,North Melbourne,Seats - Indoor,30,144.953791933,-37.79930773,Mexican
Jaspresso,North Melbourne,Seats - Outdoor,20,144.952858592,-37.79856463,Other Cuisines
Jaspresso,North Melbourne,Seats - Indoor,30,144.952858592,-37.79856463,Other Cuisines
Misty Pot Korean Grill,West Melbourne (Residential),Seats - Indoor,20,144.942620969,-37.80605115,Korean
Hunters And Disciples,West Melbourne (Residential),Seats - Indoor,100,144.945352806,-37.8068965,Other Cuisines
Souvs On Spencer,West Melbourne (Residential),Seats - Indoor,28,144.944905055,-37.80643135,Other Cuisines
Butcher Shop Cafe,West Melbourne (Residential),Seats - Outdoor,8,144.945577948,-37.8080043,Cafe / Coffee Shop
Apollo Cafe,West Melbourne (Residential),Seats - Outdoor,20,144.946624618,-37.80784196,Cafe / Coffee Shop
The Kathmandu Cottage,West Melbourne (Residential),Seats - Outdoor,20,144.949792546,-37.80539371,Other Cuisines
Smile Thai Cuisine,West Melbourne (Residential),Seats - Outdoor,4,144.94963128,-37.80538852,Thai
B Cuz Coffee & Eatery,West Melbourne (Residential),Seats - Indoor,16,144.948632857,-37.80883464,Cafe / Coffee Shop
Taiwan Cafe Melbourne,West Melbourne (Residential),Seats - Indoor,20,144.949379147,-37.80844834,Cafe / Coffee Shop
Myth Cafe,West Melbourne (Residential),Seats - Outdoor,12,144.952572489,-37.80739774,Cafe / Coffee Shop
Myth Cafe,West Melbourne (Residential),Seats - Indoor,12,144.952572489,-37.80739774,Cafe / Coffee Shop
The Flour Melbourne,West Melbourne (Residential),Seats - Indoor,24,144.954768041,-37.8059984,Other Cuisines
Little Africa,West Melbourne (Residential),Seats - Outdoor,12,144.954044804,-37.80590009,Other Cuisines
Hello Jose,West Melbourne (Residential),Seats - Outdoor,40,144.955584299,-37.80619737,Other Cuisines
Korean BBQ Matzip,West Melbourne (Residential),Seats - Indoor,25,144.955603657,-37.80606639,Korean
Sanhe Congee,West Melbourne (Residential),Seats - Indoor,28,144.955442178,-37.80604868,Other Cuisines
My Bao Handmade Pastry,West Melbourne (Residential),Seats - Indoor,26,144.950604342,-37.80951681,Other Cuisines
Roslyn Thai Cafe,West Melbourne (Residential),Seats - Indoor,45,144.951685372,-37.80886049,Thai
Kensington Canteen,Kensington,Seats - Outdoor,12,144.93036435,-37.79956864,Other Cuisines
Grounded House,Kensington,Seats - Indoor,16,144.929445017,-37.79458129,Other Cuisines
Rick's Place,Kensington,Seats - Indoor,70,144.929242857,-37.79454041,Other Cuisines
Local Folk Cafe,Kensington,Seats - Outdoor,15,144.925609612,-37.79223674,Cafe / Coffee Shop
Rye Cafe,Kensington,Seats - Indoor,30,144.915521168,-37.78257295,Cafe / Coffee Shop
Pacinos Italian Restaurant,Kensington,Seats - Indoor,130,144.915521168,-37.78257295,Italian
George Street Cafe,East Melbourne,Seats - Indoor,30,144.988184298,-37.81575787,Cafe / Coffee Shop
George Street Cafe,East Melbourne,Seats - Outdoor,24,144.988184298,-37.81575787,Cafe / Coffee Shop
Geppetto Trattoria,East Melbourne,Seats - Outdoor,6,144.987427268,-37.81636296,Italian
Pokapoka Japanese Restaurant,East Melbourne,Seats - Indoor,30,144.987630039,-37.81638646,Japanese
Albert & Grey Cafe,East Melbourne,Seats - Indoor,60,144.984140646,-37.81104846,Cafe / Coffee Shop
Laurent Boulangerie Patisserie,East Melbourne,Seats - Outdoor,8,144.984834136,-37.81608793,Cafe / Coffee Shop
KereKere Green,East Melbourne,Seats - Outdoor,30,144.980455702,-37.81296163,Other Cuisines
Sir Osborn,East Melbourne,Seats - Outdoor,40,144.973522327,-37.80899046,Other Cuisines
Sir Osborn,East Melbourne,Seats - Indoor,85,144.973522327,-37.80899046,Other Cuisines
Cafe Ecco,East Melbourne,Seats - Indoor,200,144.973619012,-37.80849653,Cafe / Coffee Shop
East Side Story Bar + Cafe,East Melbourne,Seats - Outdoor,36,144.974887122,-37.80862592,Cafe / Coffee Shop
Victoria's Secret Bar & Cafe,East Melbourne,Seats - Outdoor,80,144.974276441,-37.80855929,Cafe / Coffee Shop
Basement Espresso,East Melbourne,Seats - Outdoor,8,144.977894549,-37.80895362,Cafe / Coffee Shop
Strangers Corridor,East Melbourne,Seats - Indoor,60,144.974119012,-37.81087579,Other Cuisines
Zouki on the Park,East Melbourne,Seats - Indoor,34,144.977340439,-37.81154318,Other Cuisines
Mr Tod,East Melbourne,Seats - Indoor,70,144.97574558,-37.81162321,Other Cuisines
Mugs Alley,East Melbourne,Seats - Outdoor,22,144.975927502,-37.81642072,Other Cuisines
Beddgood & Co,East Melbourne,Seats - Outdoor,9,144.979983698,-37.81680765,Other Cuisines
Gentleman George,Melbourne (Remainder),Seats - Indoor,50,144.976209572,-37.836275,Other Cuisines
Japan Inn Gourmet Sushi,Melbourne (Remainder),Seats - Outdoor,16,144.977193113,-37.83854242,Japanese
Japan Inn Gourmet Sushi,Melbourne (Remainder),Seats - Indoor,8,144.977193113,-37.83854242,Japanese
Moody Brew Coffee Bar,Melbourne (Remainder),Seats - Indoor,15,144.977193113,-37.83854242,Cafe / Coffee Shop
Shuji Sushi Chevron,Melbourne (Remainder),Seats - Outdoor,18,144.979819038,-37.8455379,Japanese
Rosco's @ Chevron,Melbourne (Remainder),Seats - Indoor,75,144.979819038,-37.8455379,Other Cuisines
Rosco's @ Chevron,Melbourne (Remainder),Seats - Outdoor,45,144.979819038,-37.8455379,Other Cuisines
Cafe Ella,Melbourne (Remainder),Seats - Indoor,87,144.980378149,-37.84685298,Cafe / Coffee Shop
A Treat of France,Southbank,Seats - Outdoor,10,144.959050704,-37.82730522,Other Cuisines
10 Hoff Cafe,Southbank,Seats - Outdoor,10,144.963565642,-37.82580013,Cafe / Coffee Shop
Cafe Godot,Southbank,Seats - Indoor,20,144.966071447,-37.82539902,Cafe / Coffee Shop
Miss Pearl Bar And Dining,Southbank,Seats - Indoor,110,144.967877726,-37.82413111,Western / Pub / Bistro
Miss Pearl Bar And Dining,Southbank,Seats - Outdoor,32,144.967877726,-37.82413111,Western / Pub / Bistro
8 Miles Cafe,Southbank,Seats - Outdoor,6,144.967969426,-37.82843322,Cafe / Coffee Shop
8 Miles Cafe,Southbank,Seats - Indoor,30,144.967969426,-37.82843322,Cafe / Coffee Shop
Human Beans,Southbank,Seats - Indoor,28,144.967466569,-37.83063263,Other Cuisines
Story So Far,Southbank,Seats - Outdoor,16,144.97021525,-37.82981139,Other Cuisines
Story So Far,Southbank,Seats - Indoor,16,144.97021525,-37.82981139,Other Cuisines
Humbaba,Southbank,Seats - Outdoor,24,144.969568044,-37.83002436,Other Cuisines
Queenie's Restaurant & Cafe,Southbank,Seats - Outdoor,30,144.96939214,-37.82956555,Cafe / Coffee Shop
Lionel Gell Lounge,Southbank,Seats - Outdoor,14,144.969319749,-37.82456191,Other Cuisines
Pawa Cafe & Bar,Southbank,Seats - Indoor,50,144.968224607,-37.82094494,Cafe / Coffee Shop
Sake Restaurant and Bar,Southbank,Seats - Indoor,130,144.968224607,-37.82094494,Western / Pub / Bistro
Sake Restaurant and Bar,Southbank,Seats - Outdoor,70,144.968224607,-37.82094494,Western / Pub / Bistro
Gallery Kitchen,Southbank,Seats - Indoor,120,144.968633818,-37.82281706,Other Cuisines
Garden Restaurant,Southbank,Seats - Indoor,160,144.968633818,-37.82281706,Other Cuisines
Melba Restaurant,Southbank,Seats - Indoor,220,144.966262253,-37.82066924,Other Cuisines
La Camera,Southbank,Seats - Indoor,230,144.966262253,-37.82066924,Other Cuisines
Yassas the Greek Way,Southbank,Seats - Indoor,80,144.966262253,-37.82066924,Greek
Waterfront (Southgate),Southbank,Seats - Indoor,192,144.966262253,-37.82066924,Other Cuisines
Pure South Kitchen,Southbank,Seats - Outdoor,20,144.966262253,-37.82066924,Other Cuisines
Miyako Japanese Cuisine & Teppanyaki,Southbank,Seats - Outdoor,40,144.966262253,-37.82066924,Japanese
Jarrah Restaurant & Bar,Southbank,Seats - Indoor,85,144.967114686,-37.82038776,Western / Pub / Bistro
Southside On St Kilda,Melbourne (Remainder),Seats - Indoor,64,144.977535477,-37.83909862,Other Cuisines
Commodity Cafe,Melbourne (Remainder),Seats - Indoor,70,144.977676928,-37.83949217,Cafe / Coffee Shop
In a Rush,Melbourne (Remainder),Seats - Outdoor,30,144.979362332,-37.8441033,Other Cuisines
Ai Sushi,Melbourne (Remainder),Seats - Indoor,28,144.979312384,-37.84459472,Japanese
Hooks At The Yarra,Docklands,Seats - Outdoor,60,144.947647139,-37.82461483,Other Cuisines
Sassone By The Riverside,Docklands,Seats - Outdoor,36,144.946355947,-37.82488025,Other Cuisines
The Espressonist,Docklands,Seats - Outdoor,70,144.943550585,-37.82438863,Cafe / Coffee Shop
Bolte Cafe & Kebab,Port Melbourne,Seats - Outdoor,24,144.930953536,-37.82210926,Middle Eastern
Lai Cafe,Port Melbourne,Seats - Indoor,20,144.925377505,-37.82304058,Cafe / Coffee Shop
Portside Deli,Port Melbourne,Seats - Outdoor,8,144.918786228,-37.82221049,Other Cuisines
24 Atoms,Port Melbourne,Seats - Indoor,34,144.920988022,-37.82600955,Other Cuisines
Red Rooster Westgate,Port Melbourne,Seats - Indoor,40,144.917194113,-37.82984781,Other Cuisines
Mr & Mrs Pickles,Port Melbourne,Seats - Indoor,16,144.910585822,-37.82634273,Other Cuisines
Sabre Cafe,Port Melbourne,Seats - Outdoor,22,144.906335906,-37.82797655,Cafe / Coffee Shop
Workshop Brothers,Southbank,Seats - Indoor,44,144.963338023,-37.82132921,Other Cuisines
Hopscotch,Southbank,Seats - Outdoor,200,144.963375778,-37.82092509,Other Cuisines
Soho Restaurant & Bar,Southbank,Seats - Outdoor,60,144.963375778,-37.82092509,Western / Pub / Bistro
Ludlow Bar & Dining Room,Southbank,Seats - Outdoor,100,144.963828622,-37.82082512,Western / Pub / Bistro
Ludlow Bar & Dining Room,Southbank,Seats - Indoor,300,144.963828622,-37.82082512,Western / Pub / Bistro
Asado Bar y Grill,Southbank,Seats - Outdoor,30,144.963828622,-37.82082512,Western / Pub / Bistro
Old Man Pho,Southbank,Seats - Outdoor,12,144.962891358,-37.82104029,Vietnamese
Left Bank Melbourne,Southbank,Seats - Outdoor,75,144.962891358,-37.82104029,Other Cuisines
BondStore Cafe,Southbank,Seats - Indoor,60,144.963874356,-37.82193588,Cafe / Coffee Shop
Frankie Walter Peta,Southbank,Seats - Indoor,15,144.962153946,-37.82167833,Other Cuisines
Crintis Southbank,Southbank,Seats - Indoor,380,144.962153946,-37.82167833,Other Cuisines
Blossom Espresso,Southbank,Seats - Indoor,26,144.962153946,-37.82167833,Cafe / Coffee Shop
Baci,Southbank,Seats - Outdoor,100,144.958660189,-37.82312164,Other Cuisines
SHO Noodles,Southbank,Seats - Indoor,200,144.958660189,-37.82312164,Other Cuisines
Merrywell Bar and Dining / Merrywell Burger Bar,Southbank,Seats - Indoor,80,144.958660189,-37.82312164,Western / Pub / Bistro
Lucky Chan's,Southbank,Seats - Outdoor,140,144.958660189,-37.82312164,Other Cuisines
Gradi @ Crown,Southbank,Seats - Indoor,200,144.958660189,-37.82312164,Other Cuisines
Ging Thai,Southbank,Seats - Outdoor,90,144.958660189,-37.82312164,Thai
Ging Thai,Southbank,Seats - Indoor,100,144.958660189,-37.82312164,Thai
Bistro Guillaume,Southbank,Seats - Outdoor,35,144.958660189,-37.82312164,Western / Pub / Bistro
The Atlantic Restaurant,Southbank,Seats - Indoor,180,144.958660189,-37.82312164,Other Cuisines
Studio Coffee,Southbank,Seats - Indoor,100,144.952378154,-37.82539976,Cafe / Coffee Shop
Melbourne Cellar Door,Southbank,Seats - Outdoor,60,144.952378154,-37.82539976,Other Cuisines
Mad Mex,Southbank,Seats - Indoor,28,144.952378154,-37.82539976,Mexican
Melbourne Cellar Door,Southbank,Seats - Indoor,250,144.952378154,-37.82539976,Other Cuisines
Common Man,Southbank,Seats - Outdoor,59,144.952378154,-37.82539976,Other Cuisines
Cafe Orr,Southbank,Seats - Outdoor,8,144.952378154,-37.82539976,Cafe / Coffee Shop
Cafe Orr,Southbank,Seats - Indoor,54,144.952378154,-37.82539976,Cafe / Coffee Shop
The General Assembly,Southbank,Seats - Outdoor,162,144.95033362,-37.82409302,Other Cuisines
Charlie Lovett,Southbank,Seats - Outdoor,20,144.95033362,-37.82409302,Other Cuisines
Meat Market South Wharf,Southbank,Seats - Outdoor,72,144.95033362,-37.82409302,Other Cuisines
BangPop,Southbank,Seats - Indoor,210,144.95033362,-37.82409302,Other Cuisines
KFC,Southbank,Seats - Indoor,75,144.958342688,-37.82559018,Other Cuisines
Mr Hive Kitchen & Bar,Southbank,Seats - Indoor,358,144.958342688,-37.82559018,Western / Pub / Bistro
McDonalds,Southbank,Seats - Indoor,75,144.958342688,-37.82559018,Other Cuisines
Mr Summit,Southbank,Seats - Indoor,19,144.962678206,-37.82425012,Other Cuisines
Olmate’s Southbank,Southbank,Seats - Indoor,10,144.965827262,-37.82280752,Other Cuisines
The Terrace,Melbourne (Remainder),Seats - Indoor,200,144.980372356,-37.83016975,Other Cuisines
Jardin Tan,Melbourne (Remainder),Seats - Outdoor,207,144.980372356,-37.83016975,Other Cuisines
Jardin Tan,Melbourne (Remainder),Seats - Indoor,81,144.980372356,-37.83016975,Other Cuisines
Matilda 159,South Yarra,Seats - Outdoor,20,144.981451767,-37.83428436,Other Cuisines
Botanical Hotel,South Yarra,Seats - Indoor,150,144.981699536,-37.83431735,Western / Pub / Bistro
Bacash,South Yarra,Seats - Indoor,100,144.981945066,-37.83430008,Other Cuisines
Domain Brasserie,South Yarra,Seats - Indoor,45,144.982036345,-37.83431435,Other Cuisines
Domain Brasserie,South Yarra,Seats - Outdoor,36,144.982036345,-37.83431435,Other Cuisines
Bistro Gitan,South Yarra,Seats - Outdoor,6,144.979309745,-37.83713808,Western / Pub / Bistro
Alf's Cafe,Melbourne (Remainder),Seats - Indoor,244,144.982663953,-37.84633593,Cafe / Coffee Shop
Alf's Cafe,Melbourne (Remainder),Seats - Outdoor,130,144.982663953,-37.84633593,Cafe / Coffee Shop
Cafe Alfretti,Melbourne (Remainder),Seats - Indoor,40,144.982663953,-37.84633593,Cafe / Coffee Shop
Tradeblock Cafe,Melbourne (Remainder),Seats - Indoor,30,144.981958874,-37.84971031,Cafe / Coffee Shop
Mornin Vietnam,Parkville,Seats - Indoor,35,144.958562594,-37.7849288,Vietnamese
Parkside,Parkville,Seats - Outdoor,48,144.958562594,-37.7849288,Other Cuisines
Cafe Piccolina,Parkville,Seats - Indoor,20,144.9556719,-37.79525038,Cafe / Coffee Shop
Sobo Japanese,Parkville,Seats - Indoor,44,144.956578445,-37.80009421,Japanese
Isabella,Parkville,Seats - Indoor,80,144.955040398,-37.79885182,Other Cuisines
Poplar's,Parkville,Seats - Outdoor,10,144.947935334,-37.77810275,Other Cuisines
Aruba @ MCRI,Parkville,Seats - Indoor,32,144.949547006,-37.79372054,Other Cuisines
Parkville Cafe / Chatime,Parkville,Seats - Indoor,100,144.949547006,-37.79372054,Cafe / Coffee Shop
Sandrock,Parkville,Seats - Indoor,42,144.949547006,-37.79372054,Other Cuisines
Lakeside Bistro And Function Centre,Parkville,Seats - Outdoor,240,144.951432112,-37.78427658,Western / Pub / Bistro
Gaylord Indian Restaurant,Docklands,Seats - Outdoor,50,144.954158694,-37.82020557,Indian
Code 3,Docklands,Seats - Indoor,30,144.950998069,-37.81379938,Other Cuisines
Potto,Docklands,Seats - Indoor,22,144.951186966,-37.81501701,Other Cuisines
Degani @ Southern Cross Station,Docklands,Seats - Indoor,45,144.951186966,-37.81501701,Other Cuisines
Hungry Jack's,Docklands,Seats - Indoor,52,144.951186966,-37.81501701,Other Cuisines
Schnitz,Docklands,Seats - Indoor,50,144.951186966,-37.81501701,Other Cuisines
Starbucks,Docklands,Seats - Indoor,53,144.951186966,-37.81501701,Cafe / Coffee Shop
My Koala Cafe,Docklands,Seats - Indoor,10,144.944961198,-37.81396231,Cafe / Coffee Shop
Bito Beans,Docklands,Seats - Indoor,10,144.944961198,-37.81396231,Other Cuisines
My Koala Restaurant And Bar,Docklands,Seats - Outdoor,19,144.944961198,-37.81396231,Western / Pub / Bistro
My Koala Cafe,Docklands,Seats - Outdoor,14,144.944961198,-37.81396231,Cafe / Coffee Shop
Coffee N All Customs House,Docklands,Seats - Indoor,54,144.945340212,-37.81453857,Cafe / Coffee Shop
Yummy Hut,Docklands,Seats - Indoor,20,144.947536811,-37.81486994,Other Cuisines
Ichimaki,Docklands,Seats - Outdoor,20,144.949373281,-37.81733573,Other Cuisines
Mr Grazier,Docklands,Seats - Indoor,140,144.949373281,-37.81733573,Other Cuisines
Origami Sushi & Noodles,Docklands,Seats - Outdoor,12,144.947217029,-37.81817241,Japanese
Capricho Grill,Docklands,Seats - Outdoor,30,144.947217029,-37.81817241,Western / Pub / Bistro
Eatful Dumplings,Docklands,Seats - Indoor,12,144.947217029,-37.81817241,Chinese
Eatful Dumplings,Docklands,Seats - Outdoor,12,144.947217029,-37.81817241,Chinese
Souperman Cafe and Kitchen,Docklands,Seats - Indoor,14,144.947217029,-37.81817241,Cafe / Coffee Shop
Souperman Cafe and Kitchen,Docklands,Seats - Outdoor,20,144.947217029,-37.81817241,Cafe / Coffee Shop
Focaccino,Docklands,Seats - Outdoor,22,144.949017581,-37.81792089,Other Cuisines
Chilli India,Docklands,Seats - Indoor,70,144.947975341,-37.81925128,Other Cuisines
Chilli India,Docklands,Seats - Outdoor,40,144.947975341,-37.81925128,Other Cuisines
Pizza Hut Docklands,Docklands,Seats - Indoor,43,144.947975341,-37.81925128,Italian
Kebab & Gozleme Cafe,Docklands,Seats - Outdoor,30,144.947975341,-37.81925128,Middle Eastern
Sunny's Deli,Docklands,Seats - Indoor,14,144.950258352,-37.81864991,Other Cuisines
Sunny's Deli,Docklands,Seats - Outdoor,16,144.950258352,-37.81864991,Other Cuisines
Sergy Boy,Docklands,Seats - Outdoor,58,144.951576469,-37.82019801,Other Cuisines
Home Vegan Bar,Docklands,Seats - Indoor,33,144.951576469,-37.82019801,Western / Pub / Bistro
Peddler Espresso,Docklands,Seats - Indoor,20,144.951576469,-37.82019801,Cafe / Coffee Shop
Platform 28,Docklands,Seats - Outdoor,90,144.949821292,-37.81921015,Other Cuisines
Platform 28,Docklands,Seats - Indoor,370,144.949821292,-37.81921015,Other Cuisines
Blended Beard,Docklands,Seats - Outdoor,19,144.943968986,-37.81927362,Other Cuisines
Squires Loft Dockland,Docklands,Seats - Indoor,96,144.943968986,-37.81927362,Other Cuisines
Squires Loft Dockland,Docklands,Seats - Outdoor,34,144.943968986,-37.81927362,Other Cuisines
Coffee Gauge,Docklands,Seats - Outdoor,16,144.944144701,-37.82029136,Cafe / Coffee Shop
D G Expresso,Docklands,Seats - Indoor,27,144.943459922,-37.82044557,Other Cuisines
Grain & Vine on Merchant,Docklands,Seats - Outdoor,30,144.943459922,-37.82044557,Other Cuisines
Shinsei Fish And Sushi,Docklands,Seats - Indoor,52,144.943459922,-37.82044557,Japanese
An Di Docklands,Docklands,Seats - Outdoor,30,144.943788121,-37.82092615,Other Cuisines
Teeny Tiny Cafe,Docklands,Seats - Indoor,24,144.943788121,-37.82092615,Cafe / Coffee Shop
Vintams Cafe,Docklands,Seats - Indoor,64,144.943788121,-37.82092615,Cafe / Coffee Shop
Pok Pok,Docklands,Seats - Indoor,90,144.945620861,-37.81974585,Other Cuisines
Caffe Bambino Docklands,Docklands,Seats - Outdoor,22,144.944683539,-37.81993674,Other Cuisines
Toss'D,Docklands,Seats - Outdoor,15,144.944683539,-37.81993674,Other Cuisines
Tsukino Snizuku,Docklands,Seats - Indoor,20,144.944683539,-37.81993674,Other Cuisines
Caffe Esc,Docklands,Seats - Outdoor,27,144.945764329,-37.82205735,Other Cuisines
In A Rush Espresso,Docklands,Seats - Outdoor,54,144.945764329,-37.82205735,Cafe / Coffee Shop
Charlie bit me,Docklands,Seats - Indoor,33,144.945046845,-37.82100111,Other Cuisines
Chia Chia,Docklands,Seats - Indoor,44,144.945046845,-37.82100111,Other Cuisines
Saluministi,Docklands,Seats - Outdoor,12,144.941406774,-37.82007613,Other Cuisines
Cafenatics Forte,Docklands,Seats - Outdoor,16,144.945066127,-37.81970478,Cafe / Coffee Shop
Sher Singh,Docklands,Seats - Indoor,84,144.945066127,-37.81970478,Other Cuisines
Billy Barista,Docklands,Seats - Indoor,16,144.94250585,-37.82059451,Western / Pub / Bistro
Chilangos Mexican Cantina Docklands,Docklands,Seats - Indoor,59,144.943933222,-37.82163103,Mexican
Renzo's Bar Cafe Italiano,Docklands,Seats - Indoor,90,144.941261396,-37.81460532,Italian
Bhoj On Docklands,Docklands,Seats - Outdoor,80,144.941261396,-37.81460532,Other Cuisines
Achelya Cafe & Kebab Restaurant,Docklands,Seats - Indoor,100,144.942139035,-37.81434524,Middle Eastern
Karizma,Docklands,Seats - Indoor,120,144.942139035,-37.81434524,Other Cuisines
Karizma,Docklands,Seats - Outdoor,60,144.942139035,-37.81434524,Other Cuisines
Berth,Docklands,Seats - Indoor,190,144.941842104,-37.81515588,Other Cuisines
Cargo,Docklands,Seats - Indoor,80,144.941405106,-37.8153411,Other Cuisines
Cargo,Docklands,Seats - Outdoor,200,144.941405106,-37.8153411,Other Cuisines
Docklands Lotus Restaurant,Docklands,Seats - Outdoor,30,144.943683537,-37.81389099,Other Cuisines
Newquay Buffet and Bar,Docklands,Seats - Indoor,130,144.943683537,-37.81389099,Western / Pub / Bistro
Newquay Buffet and Bar,Docklands,Seats - Outdoor,68,144.943683537,-37.81389099,Western / Pub / Bistro
The Sri Lounge,Docklands,Seats - Outdoor,80,144.93905572,-37.81518961,Other Cuisines
Aim Thai,Docklands,Seats - Indoor,36,144.940199413,-37.81427742,Thai
Capri Cafe & Lounge,Docklands,Seats - Indoor,70,144.942989624,-37.81354365,Cafe / Coffee Shop
China Bar Docklands,Docklands,Seats - Indoor,70,144.939410985,-37.81220918,Chinese
Dohtonbori,Docklands,Seats - Outdoor,18,144.937857365,-37.8131707,Other Cuisines
Gozleme King,Docklands,Seats - Indoor,26,144.937857365,-37.8131707,Other Cuisines
Hana Sushi,Docklands,Seats - Indoor,10,144.937857365,-37.8131707,Japanese
Old Man Pho,Docklands,Seats - Outdoor,36,144.937857365,-37.8131707,Vietnamese
Igloo Cafe & St Moritz Bar,Docklands,Seats - Indoor,80,144.935632097,-37.81223228,Cafe / Coffee Shop
Cafe Bourgeois,Docklands,Seats - Outdoor,16,144.941196687,-37.81308482,Cafe / Coffee Shop
Yassas,Docklands,Seats - Outdoor,60,144.93675199,-37.81174852,Other Cuisines
Fukutontei Ramen,Docklands,Seats - Outdoor,36,144.93675199,-37.81174852,Japanese
Fukutontei Ramen,Docklands,Seats - Indoor,56,144.93675199,-37.81174852,Japanese
Bababoi,Docklands,Seats - Outdoor,16,144.952548545,-37.82290352,Other Cuisines
Perso,Docklands,Seats - Outdoor,24,144.952548545,-37.82290352,Other Cuisines
Them Authentic Vietnamese Cuisine & Rolls,Docklands,Seats - Outdoor,34,144.952548545,-37.82290352,Vietnamese
Hanoi Square,Docklands,Seats - Indoor,22,144.952548545,-37.82290352,Vietnamese
URBAN FOODIES PTY LTD,North Melbourne,Seats - Indoor,28,144.937871966,-37.79165579,Other Cuisines
Mr Tucker,North Melbourne,Seats - Indoor,40,144.941402664,-37.79501722,Other Cuisines
The Premises Espresso,Kensington,Seats - Indoor,70,144.93017684,-37.79426147,Cafe / Coffee Shop
The Premises Espresso,Kensington,Seats - Outdoor,16,144.93017684,-37.79426147,Cafe / Coffee Shop
Fruits Of Passion,Kensington,Seats - Outdoor,33,144.92999321,-37.79392952,Other Cuisines
White Rabbit Record Bar,Kensington,Seats - Outdoor,41,144.929934732,-37.7936563,Western / Pub / Bistro
White Rabbit Record Bar,Kensington,Seats - Indoor,35,144.929934732,-37.7936563,Western / Pub / Bistro
La Galeria Cafe And Tapas,Kensington,Seats - Indoor,16,144.929929238,-37.79360999,Cafe / Coffee Shop
Pimm Thai Cafe,Kensington,Seats - Indoor,22,144.929915372,-37.79353782,Thai
Luncheonette Cafe,Kensington,Seats - Outdoor,8,144.931113097,-37.79436218,Cafe / Coffee Shop
Food Hall,Melbourne (CBD),Seats - Indoor,28,144.956518441,-37.82099397,Other Cuisines
Fatboys Phillys,Melbourne (CBD),Seats - Indoor,36,144.956518441,-37.82099397,Other Cuisines
Arbory Bar and Eatery / Afloat,Melbourne (CBD),Seats - Outdoor,375,144.965469605,-37.81866337,Western / Pub / Bistro
Pilgrim Bar,Melbourne (CBD),Seats - Indoor,40,144.968934898,-37.81865919,Western / Pub / Bistro
Pilgrim Bar,Melbourne (CBD),Seats - Outdoor,130,144.968934898,-37.81865919,Western / Pub / Bistro
Chocolate Buddha,Melbourne (CBD),Seats - Outdoor,80,144.969917465,-37.81784465,Other Cuisines
NGV Cafe,Melbourne (CBD),Seats - Indoor,80,144.969917465,-37.81784465,Cafe / Coffee Shop
Time Out Fed Square,Melbourne (CBD),Seats - Indoor,60,144.969917465,-37.81784465,Other Cuisines
Time Out Fed Square,Melbourne (CBD),Seats - Outdoor,140,144.969917465,-37.81784465,Other Cuisines
