Census year,CLUE small area,Seating type,derived_cuisine,total_establishments,total_seats
2024,North Melbourne,Seats - Indoor,Mexican,1,30
2024,North Melbourne,Seats - Indoor,Middle Eastern,1,15
2024,North Melbourne,Seats - Indoor,Other Cuisines,39,1836
2024,North Melbourne,Seats - Indoor,Thai,1,60
2024,North Melbourne,Seats - Indoor,Vietnamese,1,38
2024,North Melbourne,Seats - Indoor,Western / Pub / Bistro,2,82
2024,North Melbourne,Seats - Outdoor,Cafe / Coffee Shop,11,200
2024,North Melbourne,Seats - Outdoor,Italian,1,4
2024,North Melbourne,Seats - Outdoor,Japanese,1,24
2024,North Melbourne,Seats - Outdoor,Korean,1,12
2024,North Melbourne,Seats - Outdoor,Other Cuisines,27,481
2024,North Melbourne,Seats - Outdoor,Thai,1,8
2024,North Melbourne,Seats - Outdoor,Vietnamese,1,6
2024,North Melbourne,Seats - Outdoor,Western / Pub / Bistro,2,18
2024,Parkville,Seats - Indoor,Cafe / Coffee Shop,7,288
2024,Parkville,Seats - Indoor,Italian,1,36
2024,Parkville,Seats - Indoor,Japanese,2,76
2024,Parkville,Seats - Indoor,Other Cuisines,14,924
2024,Parkville,Seats - Indoor,Vietnamese,1,35
2024,Parkville,Seats - Indoor,Western / Pub / Bistro,1,118
2024,Parkville,Seats - Outdoor,Cafe / Coffee Shop,4,129
2024,Parkville,Seats - Outdoor,Other Cuisines,8,300
2024,Parkville,Seats - Outdoor,Vietnamese,1,12
2024,Parkville,Seats - Outdoor,Western / Pub / Bistro,1,240
2024,Port Melbourne,Seats - Indoor,Cafe / Coffee Shop,6,227
2024,Port Melbourne,Seats - Indoor,Middle Eastern,1,52
2024,Port Melbourne,Seats - Indoor,Other Cuisines,7,244
2024,Port Melbourne,Seats - Indoor,Western / Pub / Bistro,1,90
2024,Port Melbourne,Seats - Outdoor,Cafe / Coffee Shop,5,83
2024,Port Melbourne,Seats - Outdoor,Middle Eastern,1,24
2024,Port Melbourne,Seats - Outdoor,Other Cuisines,5,102
2024,Port Melbourne,Seats - Outdoor,Western / Pub / Bistro,1,90
2024,South Yarra,Seats - Indoor,Other Cuisines,6,331
2024,South Yarra,Seats - Indoor,Western / Pub / Bistro,2,224
2024,South Yarra,Seats - Outdoor,Other Cuisines,5,133
2024,South Yarra,Seats - Outdoor,Western / Pub / Bistro,2,56
2024,Southbank,Seats - Indoor,Cafe / Coffee Shop,17,1001
2024,Southbank,Seats - Indoor,Chinese,1,110
2024,Southbank,Seats - Indoor,Greek,1,80
2024,Southbank,Seats - Indoor,Italian,1,150
2024,Southbank,Seats - Indoor,Japanese,1,90
2024,Southbank,Seats - Indoor,Mexican,1,28
2024,Southbank,Seats - Indoor,Other Cuisines,81,8511
2024,Southbank,Seats - Indoor,Thai,2,152
2024,Southbank,Seats - Indoor,Vietnamese,2,130
2024,Southbank,Seats - Indoor,Western / Pub / Bistro,17,2105
2024,Southbank,Seats - Outdoor,Cafe / Coffee Shop,11,299
2024,Southbank,Seats - Outdoor,Japanese,1,40
2024,Southbank,Seats - Outdoor,Other Cuisines,40,2612
2024,Southbank,Seats - Outdoor,Thai,1,90
2024,Southbank,Seats - Outdoor,Vietnamese,1,12
2024,Southbank,Seats - Outdoor,Western / Pub / Bistro,12,731
2024,West Melbourne (Residential),Seats - Indoor,Cafe / Coffee Shop,7,158
2024,West Melbourne (Residential),Seats - Indoor,Indian,1,42
2024,West Melbourne (Residential),Seats - Indoor,Italian,1,100
2024,West Melbourne (Residential),Seats - Indoor,Korean,3,65
2024,West Melbourne (Residential),Seats - Indoor,Other Cuisines,24,918
2024,West Melbourne (Residential),Seats - Indoor,Thai,3,122
2024,West Melbourne (Residential),Seats - Indoor,Western / Pub / Bistro,1,24
2024,West Melbourne (Residential),Seats - Outdoor,Cafe / Coffee Shop,5,72
2024,West Melbourne (Residential),Seats - Outdoor,Korean,1,8
2024,West Melbourne (Residential),Seats - Outdoor,Other Cuisines,12,160
2024,West Melbourne (Residential),Seats - Outdoor,Thai,1,4
