Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2022,2385,616892,616892,64-90 Sutton Street NORTH MELBOURNE VIC 3051,North Melbourne,URBAN FOODIES PTY LTD,Part Ground 64 Sutton Street NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Indoor,28,144.937872014,-37.7916558,"-37.7916558, 144.937872014"
2022,2523,614830,614830,524 Macaulay Road KENSINGTON VIC 3031,Kensington,Melba Social,524 Macaulay Road KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,80,144.92863306,-37.79404162,"-37.79404162, 144.92863306"
2022,2524,615808,615808,512 Macaulay Road KENSINGTON VIC 3031,Kensington,Argi,512 Macaulay Road KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,24,144.929138242,-37.79407422,"-37.79407422, 144.929138242"
2022,2524,616034,616034,188 Bellair Street KENSINGTON VIC 3031,Kensington,Fruits of Passion,188 Bellair Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Outdoor,33,144.92999325,-37.79392952,"-37.79392952, 144.92999325"
2022,2524,616043,616043,176 Bellair Street KENSINGTON VIC 3031,Kensington,White Rabbit Record Bar,176 Bellair Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Outdoor,25,144.929934775,-37.7936563,"-37.7936563, 144.929934775"
2022,2524,616045,616045,174 Bellair Street KENSINGTON VIC 3031,Kensington,Kazbah Egyptian Street Food,174 Bellair Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,18,144.929929281,-37.79360999,"-37.79360999, 144.929929281"
2022,2524,616045,616045,174 Bellair Street KENSINGTON VIC 3031,Kensington,Kazbah Egyptian Street Food,174 Bellair Street KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Outdoor,6,144.929929281,-37.79360999,"-37.79360999, 144.929929281"
2022,2546,615281,615281,169-173 Rankins Road KENSINGTON VIC 3031,Kensington,Luncheonette Cafe,173 Rankins Road KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Outdoor,8,144.93111314,-37.79436218,"-37.79436218, 144.93111314"
2022,2546,615281,615281,169-173 Rankins Road KENSINGTON VIC 3031,Kensington,Luncheonette Cafe,173 Rankins Road KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Indoor,12,144.93111314,-37.79436218,"-37.79436218, 144.93111314"
2023,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Food Hall,11 Gem Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,28,144.956518458,-37.82099397,"-37.82099397, 144.956518458"
2023,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Tokyo Maki,547 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,47,144.956518458,-37.82099397,"-37.82099397, 144.956518458"
2023,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Food Hall,11 Gem Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,20,144.956518458,-37.82099397,"-37.82099397, 144.956518458"
2023,6,110655,110655,Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,Melbourne (CBD),Pilgrim Bar,Vault 15-19 Princes Walk MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,40,144.96893493,-37.8186592,"-37.8186592, 144.96893493"
2023,6,578319,573333,Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Hero at ACMI,"Tenancy 8, Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,110,144.969917344,-37.81784448,"-37.81784448, 144.969917344"
2023,6,578323,573333,The Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Time Out Fed Square,"Tenancy 30, Square Federation Square 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,140,144.969917344,-37.81784448,"-37.81784448, 144.969917344"
2023,6,578324,573333,"Tenancy 29, Transport Federation Square 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Taxi Kitchen,"Tenancy 29, Level 1 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,220,144.969917344,-37.81784448,"-37.81784448, 144.969917344"
2023,6,578325,573333,Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Big Esso,"Tenancy 25, Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,65,144.969917344,-37.81784448,"-37.81784448, 144.969917344"
2023,6,578325,573333,Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Mama's Canteen,"Tenancy 26, Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,100,144.969917344,-37.81784448,"-37.81784448, 144.969917344"
2023,11,103989,103989,532-536 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Shonan Kamakura,9 Katherine Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,43,144.95643524,-37.82024711,"-37.82024711, 144.95643524"
2023,11,105294,105294,27-31 King Street MELBOURNE VIC 3000,Melbourne (CBD),State Of Grace,"Basement , Ground & Rooftop 27 King Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,200,144.956948523,-37.81975559,"-37.81975559, 144.956948523"
2023,12,103997,103997,472-482 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Riverside Deli & Coffee House,"Shop 1, Ground 474 Flinders Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,50,144.958272131,-37.81974184,"-37.81974184, 144.958272131"
2023,12,103997,103997,472-482 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Riverside Deli & Coffee House,"Shop 1, Ground 474 Flinders Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,12,144.958272131,-37.81974184,"-37.81974184, 144.958272131"
2023,12,103999,103999,The Clarion Gateway Apartments 1-13 William Street MELBOURNE VIC 3000,Melbourne (CBD),Williams Bar & Café,Restaurant 1 William Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,100,144.959510564,-37.81943285,"-37.81943285, 144.959510564"
2023,12,110091,110091,15-33 William Street MELBOURNE VIC 3000,Melbourne (CBD),Mokaa,"Shop 3-4, 15 William Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,16,144.959187559,-37.8192157,"-37.8192157, 144.959187559"
2023,13,103954,103954,381-387 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Tavistock House Cafe,"Shop 1, 381 Flinders Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,40,144.96138904,-37.81825094,"-37.81825094, 144.96138904"
2023,13,106438,106438,14-40 Market Street MELBOURNE VIC 3000,Melbourne (CBD),Simpsons Burgers,Part Ground 40 Market Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,23,144.961133932,-37.81848797,"-37.81848797, 144.961133932"
2023,14,104003,104003,Q2 Tower 2-8 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Sushi Lian,"Shop 2, Ground 2 Queen Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,30,144.962709793,-37.81858716,"-37.81858716, 144.962709793"
2023,14,104006,104006,318-332 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Straits Cafe,Part Basement 328 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,85,144.963576022,-37.8182001,"-37.8182001, 144.963576022"
2023,14,108114,108114,28-38 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Cm & Co Coffee Roasters,"Shop 2, Ground 34 Queen Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,36,144.962437489,-37.81798973,"-37.81798973, 144.962437489"
2023,14,108115,108115,20-26 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Maha Restaurant,Basement 21-27 Bond Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.962529863,-37.81819275,"-37.81819275, 144.962529863"
2023,14,108116,108116,18 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Bond Street Kitchen,"Unit 1, 18 Queen Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,50,144.962577278,-37.81829599,"-37.81829599, 144.962577278"
2023,15,103328,103328,River View House 274-282 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Shujinko Flinders,280 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,46,144.96509499,-37.8176365,"-37.8176365, 144.96509499"
2023,15,103942,103942,253-265 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),The Journal Canteen,Part Ground & Mezzanine 253-265 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,35,144.965902811,-37.81706291,"-37.81706291, 144.965902811"
2023,15,103942,103942,253-265 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafe Andiamo,36-38 Degraves Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,68,144.965902811,-37.81706291,"-37.81706291, 144.965902811"
2023,15,103942,103942,253-265 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafe Andiamo,36-38 Degraves Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,44,144.965902811,-37.81706291,"-37.81706291, 144.965902811"
2023,15,103943,103943,Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),RMB Cafe,37 Degraves Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,24,144.965484392,-37.81710105,"-37.81710105, 144.965484392"
2023,15,103943,103943,Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Jing Jai Thai,271-273 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,70,144.965484392,-37.81710105,"-37.81710105, 144.965484392"
2023,15,103943,103943,Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Degraves Espresso Melbourne,23-25 Degraves Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,35,144.965484392,-37.81710105,"-37.81710105, 144.965484392"
2023,16,103935,103935,175-177 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Kisume,"Basement, Ground & Level 1 175-177 Flinders Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,150,144.968676834,-37.81618641,"-37.81618641, 144.968676834"
2023,16,104017,104017,194-196 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Toffee Cafe,Part Ground 196 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,20,144.968143288,-37.81673488,"-37.81673488, 144.968143288"
2023,17,103592,103592,11-37 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),The French Brasserie,2 Malthouse Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,85,144.971726234,-37.81546152,"-37.81546152, 144.971726234"
2023,17,103921,103921,91-93 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Tazio,Basement & Ground - Lvl 1 91 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,20,144.971222828,-37.81543506,"-37.81543506, 144.971222828"
2023,17,103923,103923,103-105 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafe Kinetic,Ground 103 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.970964312,-37.81556733,"-37.81556733, 144.970964312"
2023,17,103924,103924,107-109 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Bullrun,Ground 107 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,110,144.970834369,-37.81560646,"-37.81560646, 144.970834369"
2023,17,103930,103930,141-143 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Coda Bar & Restaurant,Basement 141-143 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.969879858,-37.81579783,"-37.81579783, 144.969879858"
2023,17,104023,104023,134-136 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Desi Dhaba,Ground 134 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,90,144.970430393,-37.81629562,"-37.81629562, 144.970430393"
2023,17,110277,110277,11-15 Duckboard Place MELBOURNE VIC 3000,Melbourne (CBD),Lee Ho Fook,11-15 Duckboard Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,70,144.971315437,-37.81559018,"-37.81559018, 144.971315437"
2023,18,103914,103914,31-35 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Fonda Flinders Lane,Level 3 31 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,140,144.973292423,-37.81489476,"-37.81489476, 144.973292423"
2023,18,103915,103915,37-45 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cumulus Inc,Part Ground & Level 1 45 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,141,144.973134563,-37.81494022,"-37.81494022, 144.973134563"
2023,18,111021,111021,55 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Tom Thumb Espresso,55 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,10,144.972835271,-37.8148555,"-37.8148555, 144.972835271"
2023,18,111021,111021,55 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Tom Thumb Espresso,55 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,15,144.972835271,-37.8148555,"-37.8148555, 144.972835271"
2023,18,111071,111071,46-74 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Robata,10 Exhibition Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,150,144.972720932,-37.81546181,"-37.81546181, 144.972720932"
2023,21,102106,102106,589-605 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Palm Sugar Thai Cafe,Part Ground 595 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,45,144.955210542,-37.81936788,"-37.81936788, 144.955210542"
2023,21,108970,108970,Great Southern Hotel 44-64 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),Restaurant 1903,48 Spencer Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,55,144.954883061,-37.81970048,"-37.81970048, 144.954883061"
2023,21,579252,579252,559-587 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Stockroom567,"Tenancy 10, 567 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,90,144.955727485,-37.81902044,"-37.81902044, 144.955727485"
2023,21,579252,579252,559-587 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Schmucks Bagels,"Tenancy 9, 567 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,26,144.955727485,-37.81902044,"-37.81902044, 144.955727485"
2023,21,579252,579252,559-587 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Pho Nom,"Tenancy 4, 567 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,28,144.955727485,-37.81902044,"-37.81902044, 144.955727485"
2023,22,705123,102104,Podium Rialto 525 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Sensory Lab,"Shop 9, Podium 525 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,15,144.957536059,-37.81866186,"-37.81866186, 144.957536059"
2023,22,705123,102104,Podium Rialto 525 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Rustica,"Shop 11, Podium 525 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,20,144.957536059,-37.81866186,"-37.81866186, 144.957536059"
2023,22,705123,102104,Podium Rialto 525 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Sensory Lab,"Shop 9, Podium 525 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,5,144.957536059,-37.81866186,"-37.81866186, 144.957536059"
2023,24,102089,102089,327-343 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Strozzi Restaurant,Part Ground 333 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,32,144.96325377,-37.81706705,"-37.81706705, 144.96325377"
2023,24,102091,102091,351-357 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),O-Bento,"Tenancy 8, 1 Fulham Place MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,8,144.962788841,-37.81722704,"-37.81722704, 144.962788841"
2023,24,102092,102092,359-373 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Tian38,"Tenancy 4, 350 Flinders Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,80,144.962441845,-37.81728433,"-37.81728433, 144.962441845"
2023,24,110762,110762,303-317 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),St Collins Speciality Coffe,Lobby & Part Ground 303 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,10,144.963823141,-37.81662708,"-37.81662708, 144.963823141"
2023,24,110765,110765,302-308 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Esperienza,308 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,38,144.963897061,-37.81719967,"-37.81719967, 144.963897061"
2023,24,110765,110765,302-308 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Robot Sushi & Bar,12 Bligh Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.963897061,-37.81719967,"-37.81719967, 144.963897061"
2023,24,110765,110765,302-308 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),New Swanston China Express,306 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.963897061,-37.81719967,"-37.81719967, 144.963897061"
2023,25,101789,101789,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Aix Cafe,24 Centre Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,13,144.965596578,-37.8166033,"-37.8166033, 144.965596578"
2023,25,101789,101789,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafe Issus,8-10 Centre Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,40,144.965596578,-37.8166033,"-37.8166033, 144.965596578"
2023,25,101789,101789,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Eurolane Cafe,16-18 Centre Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,10,144.965596578,-37.8166033,"-37.8166033, 144.965596578"
2023,25,103964,103964,30-44 Manchester Lane MELBOURNE VIC 3000,Melbourne (CBD),Ginger Olive Restaurant and Grill,"Shop 2, Ground 234 Flinders Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,35,144.966200688,-37.81642646,"-37.81642646, 144.966200688"
2023,26,102073,102073,141-165 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Liminal Melbourne,Lobby 161 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,112,144.968755329,-37.81543178,"-37.81543178, 144.968755329"
2023,26,102074,102074,167-173 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Supernormal,180 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,160,144.968289171,-37.81563788,"-37.81563788, 144.968289171"
2023,26,102078,102078,189 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Box Seafood Restaurant,189 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,20,144.967706573,-37.81546678,"-37.81546678, 144.967706573"
2023,26,109418,109418,199-209 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Lobby Lounge,Part 205 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,70,144.967430384,-37.81584777,"-37.81584777, 144.967430384"
2023,27,102067,102067,89-105 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Bombay Yacht Club,"Shop 5E, 88 Flinders Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,50,144.970749815,-37.81492031,"-37.81492031, 144.970749815"
2023,27,102070,102070,115-119 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Philippe,Basement 115-119 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.970007306,-37.81473508,"-37.81473508, 144.970007306"
2023,28,102061,102060,Collins Tower 25-45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Pope Joan,"Shop 13-17, 45 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,40,144.972628061,-37.81430616,"-37.81430616, 144.972628061"
2023,28,102061,102060,Collins Tower 25-45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Atrium on 35,Part Level 35 35 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,150,144.972628061,-37.81430616,"-37.81430616, 144.972628061"
2023,28,102061,102060,Collins Tower 25-45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Sofi's Lounge,Part Level 1 25-45 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.972628061,-37.81430616,"-37.81430616, 144.972628061"
2023,28,102061,102060,Collins Tower 25-45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),No35,Part Level 35 35 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,200,144.972628061,-37.81430616,"-37.81430616, 144.972628061"
2023,28,102063,102060,Collins Place 45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Asian Pavilion,"Shop 52, 45 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,14,144.972628061,-37.81430616,"-37.81430616, 144.972628061"
2023,31,102109,102109,Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),McDonalds,92 Spencer Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,36,144.954350497,-37.81867545,"-37.81867545, 144.954350497"
2023,31,108968,108968,613-639 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Apna Desi Indian Restaurant,"Shop 5, 120 Spencer Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,20,144.954365851,-37.81818484,"-37.81818484, 144.954365851"
2023,31,108968,108968,613-639 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),In Zone Cafe,"Shop 3, 625 Little Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,6,144.954365851,-37.81818484,"-37.81818484, 144.954365851"
2023,32,102117,102117,500-514 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Henry and the Fox,"Shop 10-12, 500 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,181,144.95747321,-37.81753383,"-37.81753383, 144.95747321"
2023,32,102117,102117,500-514 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Henry and the Fox,"Shop 10-12, 500 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,100,144.95747321,-37.81753383,"-37.81753383, 144.95747321"
2023,32,102117,102117,500-514 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Kartel,"Shop 6, 500 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,22,144.95747321,-37.81753383,"-37.81753383, 144.95747321"
2023,32,102117,102117,500-514 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafenatics On Church,"Shop 5R, 500 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,47,144.95747321,-37.81753383,"-37.81753383, 144.95747321"
2023,32,102119,102119,468-478 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),AT THE GEORGE,"Shop 5, Ground 470 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,10,144.958333882,-37.81753764,"-37.81753764, 144.958333882"
2023,32,102119,102119,468-478 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),AT THE GEORGE,"Shop 5, Ground 470 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,12,144.958333882,-37.81753764,"-37.81753764, 144.958333882"
2023,32,105940,105940,505-515 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Saving Grace,30 Church Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,50,144.957798945,-37.81719649,"-37.81719649, 144.957798945"
2023,33,100729,100729,Metro Apartments Banks Place 18-20 Bank Place MELBOURNE VIC 3000,Melbourne (CBD),Curry Vault,18 Bank Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,14,144.960522519,-37.81642893,"-37.81642893, 144.960522519"
2023,33,100731,100731,4-10 Bank Place MELBOURNE VIC 3000,Melbourne (CBD),Treviso,Basement 8 Bank Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,85,144.96064227,-37.81669009,"-37.81669009, 144.96064227"
2023,33,102123,102123,446-452 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Macchiato On Collins,"Unit 2, Ground 446-452 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,34,144.959442031,-37.81730302,"-37.81730302, 144.959442031"
2023,33,105935,105935,431 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Tengu Melbourne,431 Little Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,26,144.96039685,-37.81629333,"-37.81629333, 144.96039685"
2023,33,105936,105936,433 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Dikstein's Corner Bar,433 Little Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,36,144.960341294,-37.81631094,"-37.81631094, 144.960341294"
2023,33,105937,105937,435-443 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Intimo,"Shop 3-4, 439-441 Little Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,50,144.96008589,-37.81638559,"-37.81638559, 144.96008589"
2023,33,105938,105938,457-469 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Terrace Deli,Part Ground 459 Little Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,32,144.959550046,-37.81660734,"-37.81660734, 144.959550046"
2023,33,105938,105938,457-469 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Korean Healthy Food BBQ Box,Part Ground 459 Little Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,36,144.959550046,-37.81660734,"-37.81660734, 144.959550046"
